run	label	status	first_tx_submitted_ms	last_tx_proof_ready_ms	prepared_bundle_ready_ms	mining_unpaused_ms	template_installed_ms	hashing_started_ms	first_block_found_after_template_ms	bundle_block_imported_ms	first_eligible_block_included_bundle	proof_production_ms	prepare_ms	ready_to_template_active_ms	template_to_first_found_ms	template_to_bundle_import_ms	total_wall_ms	included_block	inclusion_start_block	missed_target_block	send_total_ms	prepared_bundle_build_ms	inclusion_total_ms	round_total_ms	import_verify_total_ms	tx_verify_total_ms	commitment_verify_total_ms	payload_bytes_per_tx	tx_proof_bytes_total	commitment_proof_bytes	error
1	run01	ok	1773551482573	1773551488755	1773551489169		1773551489544	1773551489549	1773551547043	1773551547112	True	6182	414	375	57499	57568	64539	14	13	False	6267	209	58621	64987	60	16	43	415082.0	1432252	228076	
2	run02	ok	1773551594373	1773551600247	1773551600650		1773551601020	1773551601020	1773551630427	1773551630493	True	5874	403	370	29407	29473	36120	14	13	False	5943	190	30406	36442	60	16	43	415048.0	1432116	228076	
3	run03	ok	1773551677545	1773551683440	1773551683871		1773551684242	1773551684245	1773551981050	1773551981116	True	5895	431	371	296808	296874	303571	14	13	False	5965	194	298588	304649	59	16	42	414872.5	1431414	228076	
4	run04	ok	1773552028783	1773552034855	1773552035234		1773552035610	1773552035613	1773552157734	1773552157801	True	6072	379	376	122124	122191	129018	14	13	False	6149	197	123628	129882	60	16	43	414977.25	1431833	228076	
5	run05	ok	1773552205268	1773552211461	1773552211844		1773552212216	1773552212220	1773552230462	1773552230529	True	6193	383	372	18246	18313	25261	14	13	False	6266	196	19999	26363	60	16	43	415103.75	1432339	228076	
6	run06	ok	1773552279385	1773552285496	1773552285880		1773552286254	1773552286256	1773552317941	1773552318017	True	6111	384	374	31687	31763	38632	14	13	False	6184	201	32589	38875	68	20	47	414956.75	1431751	228076	
7	run07	ok	1773552366073	1773552372225	1773552372655		1773552373031	1773552373032	1773552462726	1773552462793	True	6152	430	376	89695	89762	96720	14	13	False	6224	195	91157	97483	60	16	43	415120.5	1432406	228076	
8	run08	ok	1773552510332	1773552516488	1773552516865		1773552517245	1773552517245	1773552545407	1773552545471	True	6156	377	380	28162	28226	35139	14	13	False	6234	204	29512	35848	58	16	42	415029.0	1432040	228076	
9	run09	ok	1773552591840	1773552597570	1773552597953		1773552598316	1773552598320	1773552652492	1773552652556	True	5730	383	363	54176	54240	60716	14	13	False	5794	185	55294	61172	58	16	42	414990.5	1431886	228076	
10	run10	ok	1773552699814	1773552705547	1773552705926		1773552706289	1773552706291	1773552849437	1773552849501	True	5733	379	363	143148	143212	149687	14	13	False	5798	187	144799	150684	59	16	42	415160.5	1432566	228076	
11	run11	ok	1773552896171	1773552901907	1773552902286		1773552902651	1773552902652	1773553010935	1773553010999	True	5736	379	365	108284	108348	114828	14	13	False	5802	188	109387	115279	58	16	41	415106.75	1432351	228076	
12	run12	ok	1773553057141	1773553062850	1773553063222		1773553063585	1773553063588	1773553283622	1773553283688	True	5709	372	363	220037	220103	226547	14	13	False	5776	188	221790	227654	60	16	43	414910.0	1431564	228076	
13	run13	ok	1773553330479	1773553336215	1773553336598		1773553336962	1773553336962	1773553420273	1773553420337	True	5736	383	364	83311	83375	89858	14	13	False	5800	187	84408	90295	58	16	41	415050.75	1432127	228076	
14	run14	ok	1773553466480	1773553472235	1773553472615		1773553472977	1773553472979	1773553606097	1773553606162	True	5755	380	362	133120	133185	139682	14	13	False	5818	186	134348	140253	58	16	42	415188.0	1432676	228076	
15	run15	ok	1773553652366	1773553658099	1773553658529		1773553658894	1773553658894	1773553877579	1773553877644	True	5733	430	365	218685	218750	225278	14	13	False	5797	186	219870	225750	58	16	42	414871.0	1431408	228076	
16	run16	ok	1773553923812	1773553929548	1773553929988		1773553930353	1773553930355	1773553973876	1773553973941	True	5736	440	365	43523	43588	50129	14	13	False	5801	185	44899	50783	59	16	42	415116.25	1432389	228076	
17	run17	ok	1773554020331	1773554026050	1773554026430		1773554026793	1773554026796	1773554499738	1773554499806	True	5719	380	363	472945	473013	479475	14	13	False	5784	188	473994	479866	61	16	43	415164.75	1432583	228076	
18	run18	ok	1773554547975	1773554554065	1773554554456		1773554554830	1773554554834	1773554619204	1773554619272	True	6090	391	374	64374	64442	71297	14	13	False	6167	200	65993	72263	61	16	43	414938.0	1431676	228076	
19	run19	ok	1773554667023	1773554673131	1773554673374		1773554673750	1773554673834	1773554726879	1773554726947	True	6108	243	376	53129	53197	59924	14	13	False	6185	199	54497	60785	60	16	43	415062.0	1432172	228076	
20	run20	ok	1773554774530	1773554780632	1773554781014		1773554781391	1773554781395	1773554858667	1773554858733	True	6102	382	377	77276	77342	84203	14	13	False	6174	200	78520	84797	59	16	42	415026.25	1432029	228076	
