batch_size	lane	batches	tx_count	prove_ns	verify_ns	prove_ns_per_tx	verify_ns_per_tx	bytes	bytes_per_tx	error
1	raw_shipping	8	8	0	61505209	0	7688151	2833955	354244	
1	tx_proof_manifest	8	8	68804789	74368791	8600598	9296098	2842299	355287	
1	legacy_witness_batch_stark	8	8	22054006458	87864624	2756750807	10983078	3307504	413438	
2	raw_shipping	4	8	0	63211915	0	7901489	2833923	354240	
2	tx_proof_manifest	4	8	65301917	63737417	8162739	7967177	2842099	355262	
2	legacy_witness_batch_stark	4	8	22294882751	48987042	2786860343	6123380	1779928	222491	
4	raw_shipping	2	8	0	66531874	0	8316484	2833907	354238	
4	tx_proof_manifest	2	8	66946667	65154626	8368333	8144328	2841999	355249	
4	legacy_witness_batch_stark	2	8	23128139834	27141001	2891017479	3392625	956124	119515	
8	raw_shipping	1	8	0	67995541	0	8499442	2833899	354237	
8	tx_proof_manifest	1	8	68421709	65023958	8552713	8127994	2841949	355243	
8	legacy_witness_batch_stark	1	8	23363885166	14512917	2920485645	1814114	512678	64084	
