1	1	1773595244572	1773595253914	9342	78	78
2	1	1773595244573	1773595253965	9392	78	78
8	1	1773595244577	1773595253964	9387	78	78
3	1	1773595244584	1773595254026	9442	78	78
5	1	1773595244574	1773595254099	9525	78	78
6	1	1773595244582	1773595254102	9520	78	78
7	1	1773595244591	1773595254311	9720	78	78
4	1	1773595244575	1773595254803	10228	78	78
1	2	1773595254072	1773595263553	9481	78	78
5	2	1773595254205	1773595263680	9475	78	78
6	2	1773595254211	1773595263736	9525	78	78
8	2	1773595254073	1773595263908	9835	78	78
3	2	1773595254144	1773595263967	9823	78	78
2	2	1773595254067	1773595264000	9933	78	78
7	2	1773595254406	1773595264224	9818	78	78
4	2	1773595254898	1773595264545	9647	78	78
